0,0,0,0,0
1,1,22,1,19
2,20,33,1,14
3,33,47,1,15
4,47,62,1,17
5,61,75,1,17
6,74,93,1,20
7,91,108,1,13
8,106,122,1,18
9,121,138,1,17
10,138,157,1,17
11,156,172,1,17
12,171,185,1,14
13,183,198,1,11
14,196,213,1,19
15,213,230,1,20
16,230,247,1,19
17,246,261,1,17
18,260,273,1,14
19,272,289,1,18
20,288,304,1,17
21,304,322,1,18
22,321,335,1,18
23,334,351,1,20
24,349,365,1,16
25,363,380,1,20
26,379,396,1,17
27,395,411,1,17
28,411,426,1,17
29,426,444,1,18
30,443,460,1,16
31,459,475,1,13
32,474,487,1,14
33,486,500,1,14
34,499,516,1,17
35,514,529,1,15
36,528,545,1,17
37,544,561,1,19
38,559,575,1,16
39,573,591,1,18
40,590,608,1,17
41,607,623,1,15
42,622,638,1,17
43,638,654,1,18
44,654,670,1,19
45,669,684,1,17
46,181,200,10,26
47,456,475,11,32
48,34,53,12,32
49,90,112,12,32
50,488,503,12,28
51,605,626,12,33
52,16,34,13,32
53,136,152,13,28
54,152,167,13,33
55,166,185,13,33
56,258,275,13,27
57,474,489,13,32
58,516,531,13,29
59,51,65,14,34
60,225,240,14,31
61,240,259,14,32
62,288,308,14,34
63,347,365,14,31
64,440,457,14,30
65,502,519,14,32
66,636,653,14,33
67,64,80,15,35
68,208,226,15,34
69,273,292,15,33
70,393,411,15,33
71,424,442,15,33
72,558,579,15,33
73,577,594,15,32
74,620,640,15,37
75,651,667,15,33
76,107,124,16,36
77,122,138,16,35
78,378,394,16,31
79,410,427,16,31
80,527,545,16,33
81,592,608,16,33
82,666,684,16,34
83,1,18,17,32
84,79,94,17,34
85,305,322,17,34
86,321,336,17,33
87,543,560,17,34
88,196,209,18,32
89,335,349,18,32
90,362,380,18,35
91,136,156,24,47
92,181,200,24,43
93,256,276,25,43
94,483,504,27,43
95,516,533,27,45
96,14,31,28,49
97,29,47,28,45
98,149,171,28,49
99,437,456,28,46
100,653,672,28,48
101,89,107,29,46
102,228,242,29,46
103,346,364,29,48
104,376,392,29,48
105,408,428,29,51
106,455,473,29,46
107,562,582,29,49
108,620,640,29,49
109,46,62,30,47
110,123,147,30,55
111,318,332,30,46
112,330,347,30,49
113,578,595,30,48
114,592,608,30,52
115,606,622,30,50
116,1,14,31,47
117,105,123,31,47
118,194,212,31,50
119,211,230,31,51
120,240,260,31,50
121,272,292,31,50
122,291,307,31,50
123,391,408,31,50
124,426,442,31,48
125,470,487,31,49
126,501,519,31,49
127,545,563,31,49
128,638,655,31,49
129,77,93,32,45
130,169,185,32,46
131,530,546,32,51
132,60,78,33,50
133,307,321,33,49
134,361,379,33,50
135,668,684,33,51
136,115,136,38,61
137,16,36,42,63
138,34,51,42,62
139,75,92,42,58
140,179,198,42,60
141,256,275,42,60
142,485,505,42,61
143,516,537,42,61
144,51,67,44,61
145,90,106,44,62
146,167,182,44,58
147,318,338,44,60
148,402,421,44,64
149,418,440,44,64
150,439,458,44,62
151,456,475,44,64
152,637,655,44,66
153,1,20,45,62
154,105,119,45,61
155,227,246,45,65
156,347,366,45,65
157,624,642,45,61
158,136,153,46,63
159,206,227,46,64
160,287,304,46,61
161,334,349,46,63
162,366,382,46,65
163,381,398,46,67
164,597,613,46,62
165,652,670,46,65
166,152,169,47,64
167,303,319,47,63
168,473,488,47,62
169,502,519,47,62
170,532,552,47,67
171,549,565,47,64
172,577,598,47,68
173,611,628,47,63
174,192,208,48,67
175,245,263,48,65
176,562,580,48,64
177,64,78,49,63
178,271,291,49,68
179,393,412,49,72
180,668,684,49,68
181,216,235,54,78
182,44,63,56,75
183,165,187,56,75
184,425,446,56,78
185,73,94,57,77
186,122,139,57,75
187,516,533,57,75
188,107,124,58,76
189,184,200,58,76
190,407,427,58,81
191,591,608,58,76
192,16,35,59,79
193,259,276,59,74
194,289,306,59,74
195,317,336,59,77
196,334,352,59,76
197,500,521,59,78
198,607,624,59,79
199,623,643,59,79
200,1,17,60,77
201,91,109,60,80
202,137,155,60,78
203,200,218,60,77
204,487,502,60,76
205,529,548,60,81
206,32,49,61,93
207,59,76,61,79
208,440,459,61,82
209,472,490,61,78
210,241,261,62,81
211,305,319,62,77
212,363,380,62,79
213,458,474,62,78
214,560,578,62,78
215,576,592,62,79
216,641,657,62,80
217,152,168,63,78
218,227,244,63,82
219,547,562,63,78
220,654,670,63,79
221,377,393,64,84
222,275,292,65,78
223,348,366,65,82
224,391,409,65,85
225,668,684,65,78
226,421,442,67,94
227,184,203,68,86
228,46,64,72,93
229,104,123,72,89
230,592,611,72,93
231,69,91,73,93
232,212,229,73,90
233,257,278,73,91
234,287,305,73,92
235,332,353,73,93
236,449,470,73,92
237,516,535,73,92
238,565,584,73,91
239,121,139,74,93
240,165,186,74,93
241,301,319,74,93
242,610,627,74,91
243,28,42,75,95
244,87,107,75,97
245,137,153,75,89
246,317,335,75,94
247,487,504,75,92
248,546,566,75,95
249,1,16,76,93
250,152,167,76,96
251,197,214,76,92
252,469,488,76,94
253,653,669,76,91
254,669,684,76,94
255,14,30,77,95
256,502,518,77,93
257,577,601,77,98
258,624,642,77,98
259,58,74,78,94
260,274,292,78,96
261,365,383,78,96
262,397,412,78,96
263,435,451,78,95
264,227,244,79,96
265,242,259,79,93
266,410,428,79,96
267,383,398,80,95
268,531,548,80,95
269,640,656,80,96
270,351,366,81,96
271,180,201,82,104
272,32,52,84,104
273,601,625,85,106
274,104,122,87,106
275,134,154,87,108
276,213,233,87,105
277,254,273,87,105
278,559,579,87,109
279,438,458,88,107
280,337,356,89,106
281,457,473,89,105
282,482,503,89,110
283,653,672,89,108
284,40,63,90,112
285,118,137,90,110
286,287,305,90,108
287,405,426,90,109
288,516,533,90,106
289,542,562,90,119
290,167,184,91,110
291,194,217,91,114
292,269,288,91,111
293,304,322,91,108
294,321,340,91,109
295,502,518,91,107
296,668,684,91,110
297,1,20,92,113
298,18,37,92,110
299,72,92,92,113
300,150,173,92,114
301,241,257,92,107
302,378,395,92,109
303,60,74,93,110
304,91,110,93,111
305,425,439,93,108
306,468,485,93,110
307,528,545,93,111
308,572,593,93,113
309,366,378,94,107
310,394,406,94,108
311,591,608,94,118
312,622,639,94,110
313,227,244,95,112
314,354,367,95,109
315,638,655,95,111
316,436,454,102,120
317,488,508,102,126
318,603,626,102,123
319,29,46,103,123
320,180,199,103,123
321,410,429,103,121
322,550,566,103,123
323,86,105,104,124
324,103,121,104,122
325,146,167,104,122
326,211,231,104,123
327,257,274,104,120
328,338,358,104,123
329,453,474,104,125
330,367,383,105,121
331,383,398,105,120
332,560,580,105,126
333,164,184,106,127
334,241,260,106,125
335,286,307,106,127
336,305,324,106,123
337,395,412,106,125
338,504,521,106,126
339,518,533,106,120
340,586,598,106,121
341,653,672,106,125
342,62,79,107,127
343,134,154,107,125
344,625,641,107,124
345,15,30,108,124
346,322,340,108,124
347,355,371,108,126
348,422,442,108,130
349,472,489,108,125
350,671,684,108,125
351,44,64,109,128
352,119,135,109,124
353,226,243,109,125
354,271,287,109,125
355,197,219,110,138
356,529,547,110,125
357,640,654,110,125
358,1,17,111,126
359,75,96,111,131
360,188,207,111,132
361,577,591,111,125
362,590,610,114,134
363,378,400,116,140
364,542,563,116,140
365,608,627,116,136
366,436,458,117,136
367,399,423,118,143
368,152,169,119,135
369,167,188,119,140
370,259,274,119,135
371,304,323,119,138
372,514,532,119,137
373,105,124,120,137
374,336,351,120,136
375,364,380,120,142
376,485,501,120,135
377,559,579,120,140
378,17,33,121,134
379,32,50,121,137
380,124,139,121,137
381,206,229,121,142
382,272,292,121,139
